sentiment_bucket,coin,trades,accounts,volume_usd,gross_closed_pnl,fees,net_pnl,avg_net_pnl,median_net_pnl,win_rate,avg_pnl_per_1000_usd,realized_trades,avg_size_usd,avg_start_position_abs,net_pnl_per_trade,fee_share_of_gross_abs_pnl
Greed,JUP,288,3,1112463.75,43234.079594,372.291273,42861.788321,148.82565389236112,3.0042805,0.5277777777777778,35.11562215380459,160,3862.7213541666665,73683.04166666667,148.82565389236112,0.008611060452682017
Neutral,MELANIA,500,4,777533.75,41298.450046,143.248008,41155.202037999996,82.310404076,-0.037932,0.198,23.73666752703145,100,1555.0675,313758.5454,82.310404076,0.0034686049437798313
Greed,AIXBT,320,6,472888.28,40092.549106,141.26876000000001,39951.280346,124.84775108125,1.0222764999999998,0.5375,63.326934530411656,177,1477.775875,130057.7875,124.84775108125,0.0035235664269313975
Greed,FARTCOIN,2210,10,5199391.57,41367.714132,1634.984172,39732.72996,17.978610841628957,-0.056959499999999996,0.3990950226244344,13.237915833938999,1078,2352.6658687782806,178905.62904977376,17.978610841628957,0.03952319354129499
Extreme Greed,kBONK,730,4,2084177.97,36700.494102,105.77606,36594.718042,50.12975074246575,6.392784499999999,0.6958904109589041,23.000682530562354,531,2855.038315068493,526710.1520547945,50.12975074246575,0.0028821426683254305
Extreme Greed,SOL,1913,8,8040613.06,37715.928639,1578.700673,36137.227966,18.89034394458965,-0.23528,0.25614218504966024,3.1895528490976006,789,4203.143261892315,852.4495608991114,18.89034394458965,0.04185766412145428
Neutral,ZRO,25,2,165862.93,36172.38052,58.052023,36114.328497,1444.57313988,1066.7216979999998,1.0,203.3211379890219,25,6634.517199999999,22355.112,1444.57313988,0.001604871511508693
Neutral,AVAX,22,2,29617.71,35440.071585,3.787579,35436.284006,1610.7401820909092,151.637544,0.9545454545454546,1120.1662630207356,21,1346.2595454545453,1549.9336363636364,1610.7401820909092,0.00010687278074243766
Greed,ENA,365,3,674815.97,33865.081319,104.383479,33760.69784,92.49506257534247,-0.037543,0.30684931506849317,41.071128540456314,120,1848.8108767123288,204298.8794520548,92.49506257534247,0.0030823336290480324
Extreme Fear,TRUMP,181,5,879662.82,31638.043139999998,186.922913,31451.120227,173.7630951767956,-0.033448,0.4088397790055249,75.91102910817796,75,4860.015580110497,9370.069060773481,173.7630951767956,0.005908169230721898
Greed,ETHFI,139,1,363633.46,30454.400091,111.021722,30343.378369,218.29768610791365,2.603615,0.5035971223021583,81.33478615376025,70,2616.068057553957,11366.713669064748,218.29768610791365,0.0036455067795871494
Fear,SUI,318,4,1341882.96,26130.152572,311.725257,25818.427315,81.19002300314466,-0.123922,0.33962264150943394,27.66777738091322,122,4219.757735849056,17204.282704402518,81.19002300314466,0.011929714384218025
Extreme Greed,ENA,388,3,553259.17,25229.572745,91.590885,25137.98186,64.78861304123711,-0.028315,0.23711340206185566,23.27721076283128,95,1425.9256958762887,155303.57216494845,64.78861304123711,0.003630298694540972
Extreme Greed,SUI,439,5,804037.54,23252.772656,171.644766,23081.12789,52.57660111617312,-0.00421,0.4920273348519362,13.386776280555665,235,1831.5205922551254,5565.817539863326,52.57660111617312,0.0073816902843932405
Neutral,AIXBT,176,5,349449.0,21990.866694,78.095535,21912.771159,124.50438158522728,18.566425000000002,0.7897727272727273,92.26490657351904,144,1985.5056818181818,116597.45454545454,124.50438158522728,0.003551271356726819
Extreme Greed,ANIME,634,5,580200.48,21215.967868,150.462063,21065.505805,33.22634985015773,-0.011452,0.3264984227129338,25.941088101827365,252,915.142712933754,234247.06624605678,33.22634985015773,0.0070919254750070404
Extreme Greed,kPEPE,937,5,1815877.28,20930.683155,249.952127,20680.731028,22.071217745997863,-0.035874,0.40981856990394877,7.766967605748429,555,1937.9693489861259,864037.0864461046,22.071217745997863,0.011941900087493823
Extreme Greed,DOGE,489,7,1759319.4,20799.015496,297.082039,20501.933457,41.926244288343554,0.290322,0.5071574642126789,13.401825073855308,288,3597.7901840490795,101563.74437627812,41.926244288343554,0.0142834664004714
Neutral,TRUMP,337,5,1363596.76,20121.153242,369.945866,19751.207376,58.608923964391686,0.224955,0.5014836795252225,16.256425893586723,169,4046.28118694362,19658.509495548962,58.608923964391686,0.01838591762363757
