sentiment_bucket,trades,accounts,volume_usd,gross_closed_pnl,fees,net_pnl,avg_net_pnl,median_net_pnl,win_rate,avg_pnl_per_1000_usd,realized_trades,avg_size_usd,avg_start_position_abs,net_pnl_per_trade,fee_share_of_gross_abs_pnl
Extreme Fear,21400,32,114484261.44,739110.24849,23888.6339393869,715221.6145506131,33.421570773393135,-0.0059584849999999995,0.370607476635514,4.108031225020194,10406,5349.7318429906545,58770.70899337491,33.421570773393135,0.032320799215260924
Fear,61837,32,483324789.79,3357155.441642,92456.9486741548,3264698.4929678454,52.79522766252964,-0.005752,0.42076750165758364,14.92499541392393,29808,7816.109930785776,83909.75474727391,52.79522766252964,0.027540264453448628
Neutral,37686,31,180242063.08,1292920.67555,39374.2683038708,1253546.4072461291,33.262920109487055,-0.007516,0.3969909250119408,9.51116252843199,18159,4782.732661465797,90639.10294031735,33.262920109487055,0.030453738615573798
Greed,50303,31,288582494.72,2150129.272951,63098.6919791683,2087030.5809718317,41.4891871453359,-0.010485,0.38482794266743536,19.397930145974538,25176,5736.884375086974,197849.4429502836,41.4891871453359,0.029346464314011635
Extreme Greed,39992,30,124465164.57,2715171.310673,27030.66546515,2688140.64520785,67.21695952210067,-0.00114849,0.46494298859771954,39.77347202998072,20853,3112.2515645629123,54597.362309387274,67.21695952210067,0.009955418046329462
