account,sentiment_bucket,trades,accounts,volume_usd,gross_closed_pnl,fees,net_pnl,avg_net_pnl,median_net_pnl,win_rate,avg_pnl_per_1000_usd,realized_trades,avg_size_usd,avg_start_position_abs,net_pnl_per_trade,fee_share_of_gross_abs_pnl
0x083384f897ee0f19899168e3b1bec365f52a9012,Fear,1778,1,30262439.89,1113373.547515,3245.845752,1110127.701763,624.3687861434196,5.142087,0.5264341957255343,53.84185769609826,1051,17020.494876265468,940.8386128796401,624.3687861434196,0.002915325013105065
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Extreme Greed,1643,1,5161529.02,1105304.859175,1525.700865,1103779.15831,671.80715660986,1.231499,0.5100426049908704,304.1583398225208,893,3141.527096774193,77095.79721572503,671.80715660986,0.001380343940710424
0xbaaaf6571ab7d571043ff1e313a9609a10637864,Fear,12437,1,40734967.95,620872.375844,5641.877452,615230.498392,49.467757368497224,0.0,0.4982712872879312,16.04856702925695,6283,3275.304973064244,112974.65873790577,49.467757368497224,0.009087016384535643
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,5889,1,36284991.08,534058.23633,8096.03410723,525962.20222277,89.31265108214807,-0.05792,0.27322125997622687,40.01656443088965,2464,6161.486004415011,38479.81935373378,89.31265108214807,0.01515945931826689
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,Extreme Greed,6723,1,16527882.25,478811.468185,1674.1590679399999,477137.30911706,70.97089232739253,0.479062,0.5963111706083594,35.197076140291465,4520,2458.4087832812734,25007.96411799842,70.97089232739253,0.0034964890759323864
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,Greed,593,1,5049640.49,453595.31817600003,567.269376,453028.0488,763.9596101180439,-0.050512,0.31703204047217537,42.24571194750814,269,8515.413979763913,26776.540468634063,763.9596101180439,0.001250606770548485
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Neutral,3457,1,9064146.19,401309.434693,3042.88209898,398266.55259402003,115.20582950362164,-0.027552,0.3780734741105004,32.98290103120664,1535,2621.9688140005783,51794.08170857814,115.20582950362164,0.007582383656910015
0x513b8629fe877bb581bf244e326a047b249c4ff1,Neutral,2517,1,69726062.55,381330.49405,13410.65881658,367919.83523342,146.17395122503774,0.741211,0.5542312276519666,41.915730192571765,1443,27702.0510727056,10124.401329769635,146.17395122503774,0.03516807343191808
0x513b8629fe877bb581bf244e326a047b249c4ff1,Fear,5981,1,225087033.36,367166.216924,37595.168435,329571.048489,55.10300091773951,0.0,0.3705066042467815,1.5975702923703905,2576,37633.67887644207,653.6175696054171,55.10300091773951,0.1023927766284169
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,Fear,1396,1,18227807.74,296781.722858,3607.139708,293174.58315,210.0104463825215,-0.029072,0.40902578796561606,21.488153500546773,599,13057.168868194842,7686.878427084527,210.0104463825215,0.01215418413662183
0x083384f897ee0f19899168e3b1bec365f52a9012,Greed,574,1,8686990.84,276719.270187,918.352858,275800.917329,480.48940301219517,-0.03165,0.1602787456445993,30.60082465581654,153,15134.130383275262,2336.316982055749,480.48940301219517,0.0033187166812755757
0xbaaaf6571ab7d571043ff1e313a9609a10637864,Extreme Fear,4480,1,19924907.69,261917.977792,1898.077166219,260019.900625781,58.04015638968326,0.0,0.3794642857142857,12.604477723382944,1700,4447.5240379464285,95391.14356026785,58.04015638968326,0.007246838045330139
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,Greed,7338,1,17601612.08,243399.51314,2384.0674206,241015.4457194,32.844841335432,-0.0006677499999999999,0.4647042790951213,19.800665032838566,4424,2398.693387844099,15257.645611828386,32.844841335432,0.009794873415497415
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,Fear,1181,1,10712789.22,236797.727737,2374.144915,234423.582822,198.49583642845047,-0.000635,0.4987298899237934,82.27559988009432,700,9070.947688399661,43413.379379190344,198.49583642845047,0.010026046016948481
0x430f09841d65beb3f27765503d0f850b8bce7713,Greed,772,1,1174862.15,227680.491734,380.529775,227299.961959,294.4300025375648,33.88829750000001,0.6373056994818653,180.21376277112398,492,1521.842163212435,99557.63285838084,294.4300025375648,0.001671332366255491
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Extreme Greed,3831,1,12164067.59,210726.855269,722.58015068,210004.27511832,54.81709086878622,11.762733,0.8546071521795876,30.35292672249596,3434,3175.167734273036,255912.93188579273,54.81709086878622,0.003428989388930053
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,Extreme Fear,221,1,577683.5599999999,198900.56161,56.113755,198844.447855,899.7486328280543,-0.050373,0.42081447963800905,94.05438170060943,187,2613.952760180995,45488.85904977375,899.7486328280543,0.00028211964081844404
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,Extreme Fear,986,1,10441684.57,166696.399486,1960.891566,164735.50792,167.07455164300202,-0.050570500000000004,0.3093306288032454,13.417790569290487,311,10589.94378296146,20405.90513427992,167.07455164300202,0.011763250868322956
0x083384f897ee0f19899168e3b1bec365f52a9012,Extreme Fear,100,1,1507100.86,124769.221441,143.991995,124625.229446,1246.25229446,-0.05019,0.37,52.47587092537768,37,15071.008600000001,1167.898511,1246.25229446,0.001154066630672132
0x083384f897ee0f19899168e3b1bec365f52a9012,Neutral,421,1,9824876.71,125650.11674,1301.148108,124348.968632,295.36572121615205,17.02148,0.5819477434679335,17.15040232032046,245,23336.999311163898,1236.120273159145,295.36572121615205,0.010355327490004528
0x430f09841d65beb3f27765503d0f850b8bce7713,Extreme Greed,15,1,124285.34,124284.948775,43.499863,124241.448912,8282.7632608,4783.3102499999995,1.0,999.6410967095799,15,8285.689333333334,12864.996000000001,8282.7632608,0.0003500010534562012
0x4f93fead39b70a1824f981a54d4e55b278e9f760,Extreme Greed,2446,1,45776822.49,129217.68646,13860.540195,115357.146265,47.16154794153721,-0.491328,0.3336058871627146,2.267993048523446,890,18714.972399836468,6.89047973017171,47.16154794153721,0.10726503913448877
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,Neutral,672,1,3667355.44,97380.090931,792.85779219,96587.23313881,143.73100169465775,10.998881,0.7529761904761905,21.033339756746948,506,5457.3741666666665,11541.565739046398,143.73100169465775,0.008141887983569355
0x420ab45e0bd8863569a5efbb9c05d91f40624641,Neutral,48,1,202833.43,74293.663505,28.655434,74265.008071,1547.1876681458334,46.249452000000005,0.5208333333333334,620.422389492756,25,4225.696458333333,893.0740791666667,1547.1876681458334,0.00038570495312929983
0x4f93fead39b70a1824f981a54d4e55b278e9f760,Extreme Fear,371,1,9319233.83,74346.546606,2924.867029,71421.679577,192.51126570619948,-0.004375,0.42857142857142855,6.979663313508272,159,25119.228652291105,5.484363450134771,192.51126570619948,0.03934099379895009
