sentiment_bucket,trades,accounts,volume_usd,gross_closed_pnl,fees,net_pnl,avg_net_pnl,median_net_pnl,win_rate,avg_pnl_per_1000_usd,realized_trades,avg_size_usd,avg_start_position_abs,net_pnl_per_trade,fee_share_of_gross_abs_pnl
Extreme Fear,10406,30,56895537.78,739110.24849,12230.241309000001,726880.007181,69.85200914674226,6.1279544999999995,0.7621564482029598,8.663103983104376,10406,5467.570418989045,74509.34978565926,69.85200914674226,0.016547248984825128
Fear,29808,32,239690314.39,3357155.441642,46999.21584,3310156.225802,111.04925609910092,6.010164,0.8728864734299517,31.74605275955286,29808,8041.140445182501,98896.53366541573,111.04925609910092,0.013999713941458864
Neutral,18159,29,100899481.73,1292920.67555,22262.688951,1270657.986599,69.9740066412798,4.389699,0.8238889806707418,20.375587667179342,18159,5556.444833415937,113285.88864242374,69.9740066412798,0.01721891324966986
Greed,25176,31,136924000.33,2150129.272951,29677.687022,2120451.585929,84.2251186022005,4.6356470000000005,0.7689068954559898,39.04427019787072,25176,5438.671763981571,307586.9524020307,84.2251186022005,0.013802745442030143
Extreme Greed,20853,28,57962240.42,2715171.310673,13665.862552,2701505.448121,129.54996634158155,8.391439,0.8916702632714717,76.53189612835034,20853,2779.563632091306,76641.63422145111,129.54996634158155,0.005033149289063714
